Date,Area Name,Road/Intersection Name,Traffic_Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-01,2,0,50590,50.23029856,1.5,100.0,100.0,0,151.18,70.6323302,5356,85.40362889,111,0,0
2022-01-01,7,15,15043,47.96984673,1.35483457,55.74084425,76.63531646,0,80.086,21.31400999,8043,80.32145298,105,0,0
2022-01-01,1,2,38446,26.14487626,1.5,100.0,100.0,3,126.892,48.86405681,4735,62.09261455,84,2,0
2022-01-01,1,4,31760,56.90455626,1.5,97.67246207,100.0,1,113.52,12.85425991,5284,83.87821809,91,0,0
2022-01-01,3,7,25379,38.45517944,1.5,79.03882288,100.0,2,100.758,46.31534352,6291,68.18148012,92,0,0
2022-01-01,5,1,36574,29.98242956,1.5,100.0,100.0,3,123.148,72.47912989,4818,90.37200776,115,0,0
2022-01-01,3,12,25022,35.03937304,1.5,78.97959595,100.0,1,100.044,44.26169322,8812,62.10276358,105,0,0
2022-01-01,4,9,57292,41.11676289,1.5,100.0,100.0,3,164.584,35.092601,1051,93.15517129,104,0,0
2022-01-01,4,11,60874,43.81761039,1.5,100.0,100.0,1,171.748,32.77312315,3496,63.56745159,111,0,0
2022-01-01,6,8,7399,54.47439821,1.039068846,28.34799386,36.39652494,0,64.798,44.66238371,317,95.4660201,189,0,0
2022-01-01,2,3,30825,29.37712471,1.5,100.0,100.0,1,111.65,41.9248989,7013,59.98368911,100,0,0
2022-01-01,5,13,47848,34.24196255,1.5,100.0,100.0,3,145.696,39.92787129,231,55.39457135,94,2,0
2022-01-02,1,4,6758,34.75612359,1.069280748,21.20369965,32.77504734,1,63.516,13.17128068,3375,81.29299579,200,3,0
2022-01-02,7,14,15636,32.79429896,1.310565184,48.93607081,82.48757326,1,81.272,62.56097475,6747,55.15619344,115,2,0
2022-01-02,7,15,20375,40.06999065,1.337950124,58.38210538,100.0,0,90.75,18.27153793,6234,81.44714234,113,2,0
2022-01-02,1,2,30209,31.14686403,1.5,100.0,100.0,2,110.418,48.19317525,8420,69.30513189,90,0,1
2022-01-02,3,12,37509,51.51350986,1.5,100.0,100.0,1,125.018,63.04922773,126,55.80363203,76,2,0
2022-01-02,3,7,16676,53.52433335,1.175588568,47.15579429,78.63350743,2,83.352,38.62670611,1598,57.82185213,92,1,0
2022-01-02,5,1,37584,45.88950597,1.5,100.0,100.0,2,125.168,15.97432255,470,76.56773158,101,1,0
2022-01-02,5,13,53217,37.57207491,1.5,100.0,100.0,5,156.434,33.65966098,3386,54.69909699,102,0,0
2022-01-02,4,9,29106,43.56398794,1.5,90.40985493,100.0,3,108.212,53.05050587,8854,57.00420076,100,1,0
2022-01-02,2,3,37877,26.42842444,1.5,100.0,100.0,1,125.754,75.8321009,8535,95.74321951,96,2,0
2022-01-02,2,0,22050,52.87084604,1.130159879,78.4298281,100.0,3,94.1,35.74010621,2414,62.19948217,115,1,0
2022-01-03,3,7,10179,40.30824348,1.394910452,26.93833782,51.83630715,0,70.358,77.89400785,7515,91.91643524,199,0,1
2022-01-03,4,9,28481,36.50393786,1.5,100.0,100.0,2,106.962,66.96565138,6128,58.13084697,116,2,0
2022-01-03,4,11,51459,27.32652437,1.5,100.0,100.0,0,152.918,29.66742327,8512,94.51318919,99,0,0
2022-01-03,6,6,24968,36.72769056,1.298417952,84.89404197,100.0,1,99.936,70.80193897,2041,98.16112697,82,4,0
2022-01-03,6,8,9154,40.22618269,1.378899431,40.23335461,48.30378185,0,68.308,15.84505017,6930,77.92021249,197,0,0
2022-01-03,2,3,38925,33.52942618,1.5,100.0,100.0,1,127.85,53.27526443,923,54.20534031,106,2,0
2022-01-03,2,0,23457,38.86905317,1.380024787,87.20214294,100.0,2,96.914,33.00651818,6014,87.61872647,109,0,0
2022-01-04,7,14,16012,39.2310813,1.101856262,57.00338778,82.6622786,0,82.024,43.0103332,3665,67.44341333,118,4,0
2022-01-04,7,15,19306,34.97953276,1.170174575,64.50554091,93.95409732,0,88.612,52.74340297,2608,79.06191107,88,0,1
2022-01-04,3,7,16342,39.54830801,1.35870617,46.07800825,81.9551139,0,82.684,78.76650318,1026,69.89277995,110,0,0
2022-01-04,5,1,43569,40.38910044,1.5,100.0,100.0,1,137.138,55.21420689,5094,67.80483629,92,0,0
2022-01-04,5,13,34180,37.03463636,1.5,100.0,100.0,0,118.36,32.54554159,1918,66.37486761,103,1,0
2022-01-04,6,8,20450,24.60767822,1.361663478,65.13177601,100.0,1,90.9,53.54606902,7712,97.47603118,100,0,0
2022-01-04,4,11,28369,29.40974507,1.5,86.33738401,100.0,1,106.738,35.49889027,4499,84.51974143,104,2,0
2022-01-04,6,6,13391,51.69672549,1.030345331,37.2142611,63.23545839,0,76.782,19.71790209,5729,59.09400422,194,0,0
2022-01-04,4,9,31228,42.5750771,1.5,97.78375372,100.0,2,112.456,35.82395477,4115,87.37354691,73,1,0
2022-01-04,2,3,56242,52.55340842,1.5,100.0,100.0,0,162.484,12.01478734,6752,81.01547757,106,0,1
2022-01-04,2,0,46199,41.22849932,1.5,100.0,100.0,2,142.398,57.01904791,5513,67.9081359,86,0,0
2022-01-05,7,15,25165,20.0,1.5,82.69858827,100.0,1,100.33,22.73496913,7705,97.30577311,96,3,0
2022-01-05,1,4,38924,23.93474091,1.5,100.0,100.0,2,127.848,62.49723293,1901,94.90271447,90,0,0
2022-01-05,3,12,22491,42.39264835,1.180975806,67.78714041,100.0,0,94.982,39.32478147,8184,68.11969496,102,0,0
2022-01-05,3,7,18111,55.94191518,1.236510174,58.35005408,86.10261639,0,86.222,66.1997414,48,66.67495858,97,2,0
2022-01-05,7,14,15871,57.71555095,1.010838397,47.34277657,76.66574797,1,81.742,17.28760074,7128,58.9272331,104,0,0
2022-01-05,4,11,58920,25.21236284,1.5,100.0,100.0,2,167.84,54.8803343,6207,77.13622217,92,0,0
2022-01-05,6,6,17018,57.47327055,1.213384437,64.60451833,87.97597211,0,84.036,31.82054475,2266,87.19731463,108,0,0
2022-01-05,2,3,33970,20.0,1.5,100.0,100.0,1,117.94,72.97022013,3455,77.17764306,116,0,0
2022-01-05,2,0,49952,50.80134095,1.5,100.0,100.0,2,149.904,21.49860586,7258,83.25986103,101,2,0
2022-01-05,4,9,46963,34.44415329,1.5,100.0,100.0,2,143.926,71.04867363,8336,78.25665918,106,0,0
2022-01-06,7,14,32668,51.21108558,1.5,100.0,100.0,1,115.336,23.05067835,6959,67.50626296,97,3,0
2022-01-06,7,15,6965,47.34214733,1.153730659,26.80961232,32.00753888,2,63.93,39.2306543,7878,97.23660111,199,0,0
2022-01-06,1,2,28470,20.0,1.5,97.45010926,100.0,3,106.94,61.63076111,2167,55.52370566,96,0,0
2022-01-06,1,4,22893,46.96554777,1.127501001,78.82782753,100.0,2,95.786,70.90692117,195,93.73508363,101,1,0
2022-01-06,3,12,40516,34.19584226,1.5,100.0,100.0,1,131.032,51.73889149,2089,56.02834429,82,0,0
2022-01-06,5,1,57145,45.62209851,1.5,100.0,100.0,1,164.29,79.13676056,8450,51.97134057,89,2,1
2022-01-06,4,9,28153,21.48315394,1.5,98.22425144,100.0,4,106.306,25.0458265,285,63.11320221,103,0,0
2022-01-06,4,11,61024,44.82690984,1.5,100.0,100.0,2,172.048,36.81969698,4639,52.34829834,89,0,0
2022-01-06,6,8,20310,51.72257284,1.103155074,60.48712148,100.0,1,90.62,22.01755001,2478,50.91953383,117,0,0
2022-01-06,2,3,22591,30.91538704,1.236117977,70.66460615,100.0,2,95.182,30.61260317,8495,88.18028971,100,1,0
2022-01-06,2,0,46556,46.59329803,1.5,100.0,100.0,2,143.112,15.98559716,1886,51.32661019,89,0,0
2022-01-06,5,13,12965,62.70800636,1.275360959,41.91321344,62.28902033,2,75.93,29.05015961,5277,68.04869485,198,0,0
2022-01-07,1,4,39110,23.53041371,1.5,100.0,100.0,2,128.22,78.87843536,3643,94.70496018,91,0,0
2022-01-07,1,2,42022,34.71075116,1.5,100.0,100.0,5,134.044,12.27683256,8238,80.83251573,109,0,0
2022-01-07,3,7,21131,44.34249739,1.273318151,69.35472079,100.0,1,92.262,41.5970917,1506,89.74047744,106,0,0
2022-01-07,5,1,50214,36.94089993,1.5,100.0,100.0,0,150.428,50.75193221,3133,81.04577589,108,1,1
2022-01-07,6,6,34362,46.08703581,1.5,100.0,100.0,5,118.724,21.10235737,7891,93.59217639,87,1,0
2022-01-07,2,3,25768,25.49316209,1.5,85.81084803,100.0,2,101.536,69.58448398,4429,74.02932887,103,0,0
2022-01-07,2,0,24405,29.84255885,1.237175974,82.95172416,100.0,2,98.81,72.21236559,8549,93.10638086,110,0,1
2022-01-07,0,10,12382,45.46436548,1.252725411,36.46940495,63.25005703,0,74.764,64.58917766,970,88.05139513,202,0,0
2022-01-08,2,0,36384,28.18948343,1.5,100.0,100.0,2,122.768,15.07128215,3525,73.99694174,103,3,0
2022-01-08,2,3,11033,44.52288644,1.096818006,46.50991853,51.58995543,0,72.066,53.2709014,6285,77.98243417,201,0,1
2022-01-08,6,8,16390,34.37367223,1.275785988,60.64506732,78.95150244,0,82.78,17.31974882,5682,85.32378632,78,1,0
2022-01-08,4,9,65269,36.97599605,1.5,100.0,100.0,2,180.538,14.22464588,2253,57.97723401,113,4,0
2022-01-08,0,5,17926,66.42270359,1.22214542,64.1373689,86.91454741,3,85.852,57.61597697,656,51.53262511,92,2,0
2022-01-08,5,13,22876,65.01737103,1.290103064,75.98671216,100.0,2,95.752,51.464523,8164,60.53310945,104,1,0
